time,open,high,low,close,volume,EMA20,EMA50,RSI14,MACD,MACD_signal,MACD_hist,ADX,ATR,BB_upper,BB_middle,BB_lower,target
1783202400000,63297.83,63310.0,63160.0,63184.99,486.87752,62869.06097938691,62312.988947501784,70.25875073016356,274.68725517478015,249.9545829266646,24.732672248115534,41.25854164690889,243.528571428571,63447.96855743693,62809.97599999999,62171.98344256305,0
1783206000000,63185.0,63241.33,62927.98,63144.01,584.01676,62895.24660039768,62345.578008384065,71.1169732370848,263.3411380209145,252.6318939455146,10.709244075399909,43.11998002993335,253.90214285714268,63484.416729445154,62835.812,62187.20727055484,0
1783209600000,63144.01,63144.01,62888.86,62991.29,348.66174,62904.393590836,62370.90004727097,64.29617584992738,239.26789936165733,249.95909502874315,-10.691195667085822,46.99809286806667,265.00999999999993,63499.222352663506,62850.3765,62201.53064733649,0
1783213200000,62991.3,63043.15,62800.0,62887.94,447.61772,62902.82658218495,62391.17612384858,61.63023235825001,209.43595569003082,241.85446716100068,-32.41851147096986,50.54145986599671,274.69214285714304,63495.100825099515,62871.19750000001,62247.294174900504,0
1783216800000,62887.93,62926.0,62596.08,62693.56,307.64194,62882.89643150067,62403.0343150702,50.84066843809197,168.1705188454216,227.1176774978849,-58.94715865246329,51.71516820349222,282.9164285714287,63486.26566059748,62880.875,62275.48433940252,1
1783220400000,62693.57,62796.39,62658.0,62769.04,211.72564,62872.05296183394,62417.3874791851,55.125608701588426,139.9447718150841,209.68309636132477,-69.73832454624068,52.17506458844686,276.02142857142877,63481.433507206224,62890.527,62299.62049279378,1
1783224000000,62769.03,62952.93,62712.0,62815.99,288.42759,62866.71363213548,62433.018950589605,53.58899531665529,119.98106947718043,191.7426909844959,-71.76162150731548,54.245154483844736,282.3200000000002,63474.37652126677,62903.6375,62332.89847873322,0
1783227600000,62815.99,62815.99,62659.65,62740.5,312.61219,62854.69328621781,62445.077030958644,43.354764292221226,96.9506922098517,172.7842912295671,-75.8335990197154,52.03773014030183,265.80357142857144,63459.45069662459,62915.9625,62372.47430337541,1
1783231200000,62740.5,62819.91,62669.99,62782.18,269.63913,62847.78725895897,62458.296755234776,45.32358798847571,81.12699842821166,154.45283266929601,-73.32583424108435,49.84759733460421,263.4914285714289,63443.42504937617,62929.4215,62415.41795062382,1
1783234800000,62782.18,63059.99,62718.31,63020.21,393.71695,62864.208472391445,62480.33256875498,40.943993873786106,86.79314149470883,140.92089443437857,-54.12775293966973,46.613237192908414,242.42428571428587,63426.164812225295,62956.33150000001,62486.49818777472,0
1783238400000,63020.21,63104.0,62900.0,62915.0,337.45972,62869.04576073512,62497.37835037243,41.0122310084655,81.85051123061567,129.106817793626,-47.25630656301033,43.11510763239795,238.85428571428565,63418.825442322166,62968.88100000001,62518.93655767785,0
1783242000000,62915.0,62930.16,62436.59,62622.18,562.27226,62845.5347359032,62502.27253271077,29.047814871583896,53.68645035442023,114.02274430578484,-60.33629395136461,40.762262349056606,249.9307142857147,63414.7746727054,62970.547999999995,62526.321327294594,1
1783245600000,62622.18,62756.25,62536.57,62756.12,183.32618,62837.019046769565,62512.22733534956,35.76647555931686,41.693451658196864,99.55688577626725,-57.86343411807039,37.40166211537854,248.72000000000065,63410.54648532692,62973.65449999999,62536.76251467306,0
1783249200000,62756.12,62812.0,62600.03,62658.92,268.20384,62820.057232791514,62517.97998886526,31.329920284264972,24.068242404369812,84.45915710188777,-60.39091469751796,34.05714276336682,246.28928571428645,63418.43877955558,62959.436,62500.43322044442,1
1783252800000,62658.92,62772.0,62569.37,62745.01,294.54856,62812.90987728756,62526.88312655682,36.93894271872346,16.852614158160577,70.93784851314233,-54.08523435498175,31.123019682701887,250.04857142857196,63419.145996720305,62950.32200000001,62481.49800327971,1
1783256400000,62745.0,62819.66,62644.12,62792.0,337.44331,62810.91846040302,62537.27986669185,39.58753616157791,14.755781610190752,59.701435132552014,-44.94565352236126,28.26817303649983,240.2050000000007,63372.7003838751,62925.903000000006,62479.105616124914,1
1783260000000,62791.99,62818.37,62656.02,62812.25,219.35892,62811.04527369797,62548.063009174526,44.25365565583557,14.560191646851308,50.67318643541188,-36.11299478856057,25.557345841844988,233.5764285714296,63341.63660659875,62907.8765,62474.116393401244,0
1783263600000,62812.25,62943.59,62679.76,62740.01,243.82359,62804.28000953626,62555.590342148076,45.15539544784674,8.478288494407025,42.23420684721091,-33.75591835280389,22.400886311923745,235.05357142857196,63279.31074413047,62880.141,62480.97125586954,0
1783267200000,62740.01,62772.86,62590.02,62637.48,344.55738,62788.39429434233,62558.801701279524,48.04585685413637,-4.56238535430748,32.87488840690723,-37.43727376121471,20.653917200693392,224.54785714285805,63226.70582945243,62850.326,62473.94617054757,0
1783270800000,62637.48,62820.0,62594.38,62624.93,275.09476,62772.826266309734,62561.39496789602,44.74806300429308,-15.72858412063215,23.154193901399356,-38.8827780220315,19.410534311611716,230.77857142857258,63141.378779153034,62816.6805,62491.98222084697,1
1783274400000,62624.93,62880.0,62616.0,62820.33,372.13939,62777.350431423096,62571.54928288049,50.142723721077196,-8.710322936174634,16.781290533884558,-25.491613470059193,17.304126202823273,232.42642857142968,63073.17232101319,62798.44750000001,62523.72267898683,0
1783278000000,62820.33,62888.14,62714.98,62768.88,297.34041,62776.54372366852,62579.287742375374,50.94828853633426,-7.216695820876339,11.981693262932378,-19.198389083808717,16.893191250879426,233.62785714285823,63001.13357869867,62779.691000000006,62558.248421301345,0
1783281600000,62768.87,62836.01,62700.0,62730.61,164.5638,62772.16908331913,62585.22194855674,48.27290568464204,-9.017111091561674,7.781932392033568,-16.79904348359524,16.352373150800222,232.63428571428656,62965.15768488726,62766.65700000001,62568.156315112756,1
1783285200000,62730.61,63220.0,62609.47,63092.01,428.51084,62802.63012300302,62605.095989789814,52.221067349691346,18.504695874049503,9.926485088436756,8.578210785612747,16.258507920788063,251.8378571428579,63018.008962375316,62776.86050000001,62535.712037624704,1
1783288800000,63092.0,63964.48,63005.04,63736.0,1512.51245,62891.52249224083,62649.4451666608,69.04766323916989,91.22890707646002,26.18696948604141,65.04193759041861,18.612139274766466,305.79785714285805,63317.783462352294,62828.982500000006,62340.18153764772,0
1783292400000,63735.99,63999.0,63577.36,63650.0,750.87927,62963.758445360756,62688.68261110548,76.37735461684531,140.30652090083458,49.01087976900004,91.29564113183454,21.157634777007587,300.66000000000037,63482.874727686765,62873.03050000001,62263.18627231325,1
1783296000000,63650.01,63772.52,63350.0,63761.99,854.38324,63039.78049818354,62730.77309694448,76.10818387105127,186.0923833455672,76.42718048431348,109.66520286125373,22.262157523553704,315.14857142857153,63647.08565151487,62920.330500000004,62193.57534848514,0
1783299600000,63761.98,63920.0,63550.0,63576.0,432.9767,63090.84902216607,62763.919250005485,72.75474656847669,205.0069777584431,102.14313993913942,102.86383781930368,23.51283734852989,326.4364285714286,63739.61602938597,62962.105500000005,62184.59497061404,0
1783303200000,63576.0,63669.45,63373.13,63460.01,398.01222,63126.00721053121,62791.21692647586,67.48132065876467,208.23707904763432,123.3619277608384,84.87515128679593,24.054218202320495,333.12857142857166,63799.15464865657,62995.99700000001,62192.83935134345,0
1783306800000,63460.01,63495.14,63136.01,63294.0,420.90012,63142.00652381395,62810.93390975132,61.598569355748,195.15175009702216,137.71989222807517,57.43185786894699,24.536934408356846,346.2421428571428,63823.83984922577,63009.686499999996,62195.53315077422,0
1783310400000,63294.0,63402.77,63187.98,63267.99,278.63053,63154.004950117385,62828.85767799637,60.50179277543754,180.6008883824761,146.29609145895537,34.30479692352074,25.174431851576315,349.9878571428562,63848.124071767335,63027.335999999996,62206.547928232656,0
1783314000000,63267.99,63268.0,62950.0,63114.0,702.75025,63150.194954868115,62840.03972983965,58.30509377900749,154.8584082541929,148.0085548180029,6.849853436190017,25.790473255252977,353.8571428571423,63850.782358494616,63051.927,62253.07164150539,0
1783317600000,63113.99,63152.7,62972.0,62976.0,622.44998,63133.60495916639,62845.37150514006,57.40083251713999,121.91648327328585,142.79014050905948,-20.873657235773635,26.894984990950842,353.7042857142847,63850.609519174795,63062.92100000001,62275.23248082522,1
1783321200000,62976.0,63120.0,62890.0,63089.42,529.35201,63129.39686781721,62854.94203435026,59.72586906541701,103.76567044468538,134.9852464961847,-31.219576051499303,27.362462800905195,354.01714285714166,63848.83383100409,63084.445999999996,62320.0581689959,0
1783324800000,63089.42,63244.0,62800.13,62904.01,536.0688,63107.931451834615,62856.86626829731,51.759520925851184,73.57189206963085,122.70257561087392,-49.13068354124307,28.077923089712414,366.864999999999,63845.13806023031,63092.39599999999,62339.653939769676,0
1783328400000,62904.01,62914.0,62630.85,62664.77,432.26087,63065.725599278936,62849.33308130526,47.971126900546025,29.992699416019605,104.16060037190306,-74.16790095588345,28.0759578518791,374.72142857142796,63851.50852022729,63086.034499999994,62320.5604797727,1
1783332000000,62664.77,63030.0,62664.76,62822.06,454.82776,63042.51935172856,62848.26354870505,51.70315078238775,8.055010591495375,84.93948241582152,-76.88447182432614,28.503628292506725,391.09499999999906,63851.27257193524,63086.525,62321.777428064765,0
1783335600000,62822.07,63000.0,62483.83,62483.84,610.79996,62989.311794421075,62833.97242914799,38.57489057128353,-36.20494516095641,60.71059690046593,-96.91554206142234,28.753390345874898,384.35499999999905,63870.79801102221,63073.716499999995,62276.63498897778,0
1783339200000,62483.84,62487.98,61668.2,61754.01,2426.65551,62871.66400447621,62791.62096133827,13.9295840779794,-128.68901368312072,22.8306747837486,-151.51968846686933,31.024419311570878,374.379285714285,64006.12748228386,63029.54299999999,62052.95851771612,1
1783342800000,61754.01,62034.0,61306.84,61768.21,3623.91016,62766.57314690705,62751.487198148534,14.834111354878573,-198.54873672832036,-21.445207518665196,-177.10352920965516,31.020507533107747,396.20214285714246,64103.15887433732,62986.706999999995,61870.25512566267,1
1783346400000,61768.2,62411.41,61712.54,62052.0,1203.78704,62698.51856148733,62724.056327632905,19.972676732024723,-228.38095578961656,-62.83235717285547,-165.5485986167611,30.817120023113166,415.9414285714286,64139.237673860815,62948.29049999999,61757.34332613916,1
1783350000000,62052.0,63550.0,62052.0,63545.98,2153.37389,62779.229174679014,62756.28862851005,49.63878153141233,-129.97325327878934,-76.26053639404225,-53.712716884747095,27.86489208680676,496.5128571428572,64203.87428544363,62987.145500000006,61770.416714556384,1
1783353600000,63545.98,63863.0,63386.01,63732.0,1748.98599,62869.96925328101,62794.55181954887,53.21850423982522,-36.5528224993177,-68.31899361509734,31.766171115779642,24.795150116265237,509.41785714285703,64291.33630019462,63037.21499999999,61783.09369980536,0
1783357200000,63732.0,63976.16,63570.16,63587.38,885.44922,62938.29408630187,62825.64312074303,53.48927930885198,25.51974090339354,-49.551246711399166,75.0709876147927,23.083009653700707,512.7657142857144,64340.00051516256,63061.983499999995,61783.96648483743,1
1783360800000,63587.38,63886.0,63560.0,63696.4,345.76423,63010.494649511216,62859.790449341344,54.99658271577296,82.55802002627752,-23.12939336386383,105.68741339014134,21.352248983171727,520.7092857142862,64333.73925939883,63060.00349999999,61786.26774060115,1
1783364400000,63696.4,63887.93,63652.42,63738.52,308.11427,63079.83039717681,62894.25043172012,57.47899481696507,129.66529831314256,7.429544971537446,122.23575334160512,21.22023771731791,514.8171428571435,64347.37924335698,63064.42949999999,61781.479756643,1
1783368000000,63738.52,63892.65,63589.41,63828.0,314.93037,63151.08464506474,62930.86806184874,60.323168485741434,172.23304855711467,40.3902456886529,131.84280286846177,20.66496007146676,523.5700000000007,64358.55116664335,63067.729999999996,61776.90883335664,1
1783371600000,63828.0,64700.0,63810.0,64489.98,1489.51024,63278.59848839191,62992.009706482124,64.97861054072557,256.42860161369754,83.59791687366183,172.8306847400357,21.7447588659051,570.7128571428578,64537.82030473623,63113.42899999999,61689.037695263745,0
